run_id,task,epoch,step,test_acc
R2_B2_ep_1_seed2,0,0,0,0.1420000046491623
R2_B2_ep_1_seed2,0,0,25,0.21400001645088196
R2_B2_ep_1_seed2,0,0,50,0.35200002789497375
R2_B2_ep_1_seed2,0,0,75,0.4790000319480896
R2_B2_ep_1_seed2,0,0,100,0.5740000009536743
R2_B2_ep_1_seed2,0,0,125,0.6415000557899475
R2_B2_ep_1_seed2,0,0,150,0.6960000395774841
R2_B2_ep_1_seed2,0,0,175,0.7310000061988831
R2_B2_ep_1_seed2,0,0,200,0.7515000104904175
R2_B2_ep_1_seed2,0,0,225,0.7715000510215759
R2_B2_ep_1_seed2,1,0,0,0.0820000022649765
R2_B2_ep_1_seed2,1,0,25,0.2410000115633011
R2_B2_ep_1_seed2,1,0,50,0.4255000054836273
R2_B2_ep_1_seed2,1,0,75,0.5485000014305115
R2_B2_ep_1_seed2,1,0,100,0.6220000386238098
R2_B2_ep_1_seed2,1,0,125,0.6735000610351562
R2_B2_ep_1_seed2,1,0,150,0.7230000495910645
R2_B2_ep_1_seed2,1,0,175,0.7445000410079956
R2_B2_ep_1_seed2,1,0,200,0.7680000066757202
R2_B2_ep_1_seed2,1,0,225,0.7850000262260437
R2_B2_ep_1_seed2,2,0,0,0.10750000178813934
R2_B2_ep_1_seed2,2,0,25,0.23250001668930054
R2_B2_ep_1_seed2,2,0,50,0.3815000057220459
R2_B2_ep_1_seed2,2,0,75,0.5090000033378601
R2_B2_ep_1_seed2,2,0,100,0.6165000200271606
R2_B2_ep_1_seed2,2,0,125,0.6780000329017639
R2_B2_ep_1_seed2,2,0,150,0.7145000100135803
R2_B2_ep_1_seed2,2,0,175,0.7520000338554382
R2_B2_ep_1_seed2,2,0,200,0.7695000171661377
R2_B2_ep_1_seed2,2,0,225,0.7875000238418579
R2_B2_ep_1_seed2,47,0,0,0.11250000447034836
R2_B2_ep_1_seed2,47,0,25,0.242000013589859
R2_B2_ep_1_seed2,47,0,50,0.3540000021457672
R2_B2_ep_1_seed2,47,0,75,0.46550002694129944
R2_B2_ep_1_seed2,47,0,100,0.562000036239624
R2_B2_ep_1_seed2,47,0,125,0.6370000243186951
R2_B2_ep_1_seed2,47,0,150,0.6830000281333923
R2_B2_ep_1_seed2,47,0,175,0.7210000157356262
R2_B2_ep_1_seed2,47,0,200,0.7490000128746033
R2_B2_ep_1_seed2,47,0,225,0.7730000615119934
R2_B2_ep_1_seed2,48,0,0,0.1550000011920929
R2_B2_ep_1_seed2,48,0,25,0.21650001406669617
R2_B2_ep_1_seed2,48,0,50,0.31450000405311584
R2_B2_ep_1_seed2,48,0,75,0.46150001883506775
R2_B2_ep_1_seed2,48,0,100,0.5730000138282776
R2_B2_ep_1_seed2,48,0,125,0.6470000147819519
R2_B2_ep_1_seed2,48,0,150,0.6930000185966492
R2_B2_ep_1_seed2,48,0,175,0.7300000190734863
R2_B2_ep_1_seed2,48,0,200,0.7510000467300415
R2_B2_ep_1_seed2,48,0,225,0.7715000510215759
R2_B2_ep_1_seed2,49,0,0,0.07150000333786011
R2_B2_ep_1_seed2,49,0,25,0.1600000113248825
R2_B2_ep_1_seed2,49,0,50,0.29100000858306885
R2_B2_ep_1_seed2,49,0,75,0.42350003123283386
R2_B2_ep_1_seed2,49,0,100,0.5350000262260437
R2_B2_ep_1_seed2,49,0,125,0.6185000538825989
R2_B2_ep_1_seed2,49,0,150,0.6725000143051147
R2_B2_ep_1_seed2,49,0,175,0.7050000429153442
R2_B2_ep_1_seed2,49,0,200,0.7300000190734863
R2_B2_ep_1_seed2,49,0,225,0.7505000233650208
